Time,Grid_frequency,Demand_power,Active_power
2024-05-01 09:07:37,60.0,0.0,0.0
2024-05-01 09:07:37,60.01,1.0,0.0
2024-05-01 09:07:38,59.99,1.0,0.0
2024-05-01 09:07:39,60.0,1.0,0.0
2024-05-01 09:07:40,60.0,1.0,0.0
2024-05-01 09:07:41,60.02,1.0,0.0
2024-05-01 09:07:42,59.98,1.0,0.0
2024-05-01 09:07:43,59.99,1.0,0.0
2024-05-01 09:07:44,59.98,1.0,0.0
2024-05-01 09:07:45,60.0,1.0,0.0
2024-05-01 09:07:46,59.99,1.0,0.0
2024-05-01 09:07:47,60.0,1.0,0.0
2024-05-01 09:07:48,59.98,1.0,0.0
2024-05-01 09:07:49,59.98,1.0,0.0
2024-05-01 09:07:50,60.02,1.0,0.0
2024-05-01 09:07:51,60.0,1.0,0.0
2024-05-01 09:07:52,60.02,1.0,0.0
2024-05-01 09:07:53,59.98,1.0,0.0
2024-05-01 09:07:54,60.0,1.0,0.0
2024-05-01 09:07:55,60.01,1.0,0.0
2024-05-01 09:07:56,60.02,1.0,0.0
2024-05-01 09:07:57,60.0,1.0,0.0
2024-05-01 09:07:58,59.99,1.0,0.0
2024-05-01 09:07:59,59.99,1.0,0.0
2024-05-01 09:08:00,59.99,1.0,0.0
2024-05-01 09:08:01,60.02,1.0,0.0
2024-05-01 09:08:02,60.01,1.0,0.0
2024-05-01 09:08:03,60.0,1.0,0.0
2024-05-01 09:08:04,60.01,1.0,0.0
2024-05-01 09:08:05,59.99,1.0,0.0
2024-05-01 09:08:06,59.99,1.0,0.0
2024-05-01 09:08:07,59.99,1.0,0.0
2024-05-01 09:08:08,60.01,1.0,0.0
2024-05-01 09:08:09,60.01,1.0,0.0
2024-05-01 09:08:10,60.01,1.0,0.0
2024-05-01 09:08:11,60.0,1.0,0.0
2024-05-01 09:08:12,60.0,1.0,0.0
2024-05-01 09:08:13,59.99,1.0,0.0
2024-05-01 09:08:14,60.0,1.0,0.0
2024-05-01 09:08:15,59.99,1.0,0.0
2024-05-01 09:08:16,60.01,1.0,0.0
2024-05-01 09:08:17,60.0,1.0,0.0
2024-05-01 09:08:18,59.99,1.0,0.0
2024-05-01 09:08:19,60.0,1.0,0.0
2024-05-01 09:08:20,60.02,1.0,0.0
2024-05-01 09:08:21,60.02,1.0,0.0
2024-05-01 09:08:22,59.99,1.0,0.0
2024-05-01 09:08:23,60.01,1.0,0.0
2024-05-01 09:08:24,59.99,1.0,0.0
2024-05-01 09:08:25,60.02,1.0,0.0
2024-05-01 09:08:26,60.02,1.0,0.0
2024-05-01 09:08:27,59.99,1.0,0.0
2024-05-01 09:08:28,60.01,1.0,0.0
2024-05-01 09:08:30,59.98,1.0,0.0
2024-05-01 09:08:31,60.01,1.0,0.0
2024-05-01 09:08:32,60.0,1.0,0.0
2024-05-01 09:08:33,59.99,1.0,0.0
2024-05-01 09:08:34,59.99,1.0,0.0
2024-05-01 09:08:35,60.0,1.0,0.0
2024-05-01 09:08:36,59.98,1.0,0.0
2024-05-01 09:08:37,59.89,2.871,0.0
2024-05-01 09:08:38,59.88,3.08,0.0
2024-05-01 09:08:39,59.93,2.038,0.0
2024-05-01 09:08:40,59.96,1.413,0.0
2024-05-01 09:08:41,59.91,2.455,0.0
2024-05-01 09:08:42,59.86,3.496,0.0
2024-05-01 09:08:43,59.88,3.08,0.0
2024-05-01 09:08:44,59.94,1.83,0.0
2024-05-01 09:08:45,59.98,1.0,0.0
2024-05-01 09:08:46,59.96,1.413,0.0
2024-05-01 09:08:47,59.89,2.871,0.0
2024-05-01 09:08:48,59.96,1.413,0.0
2024-05-01 09:08:49,59.93,2.038,0.0
2024-05-01 09:08:50,59.87,3.288,0.0
2024-05-01 09:08:51,59.9,2.663,0.0
2024-05-01 09:08:52,59.97,1.205,0.0
