Time,Grid_frequency,Demand_power,Active_power
2024-04-30 23:15:55,60.0,0,0.0
2024-04-30 23:15:55,60.01,0,0.0
2024-04-30 23:15:55,59.99,0,0.0
2024-04-30 23:15:56,60.0,0,0.0
2024-04-30 23:15:57,60.0,0,0.0
2024-04-30 23:15:58,60.02,0,0.0
2024-04-30 23:15:59,59.98,0,0.0
2024-04-30 23:16:00,59.99,0,0.0
2024-04-30 23:16:01,59.98,0,0.0
2024-04-30 23:16:02,60.0,0,0.0
2024-04-30 23:16:03,59.99,0,0.0
2024-04-30 23:16:04,60.0,0,0.0
2024-04-30 23:16:05,59.98,0,0.0
2024-04-30 23:16:06,59.98,0,0.0
2024-04-30 23:16:06,60.02,0,0.0
2024-04-30 23:16:07,60.0,0,0.0
2024-04-30 23:16:08,60.02,0,0.0
2024-04-30 23:16:09,59.98,0,0.0
2024-04-30 23:16:10,60.0,0,0.0
2024-04-30 23:16:11,60.01,0,0.0
2024-04-30 23:16:12,60.02,0,0.0
2024-04-30 23:16:13,60.0,0,0.0
2024-04-30 23:16:14,59.99,0,0.0
2024-04-30 23:16:15,59.99,0,0.0
