Time,Grid_frequency,Demand_power,Active_power,Power Control Index
2024-05-06 17:59:14,60.0,0.0,0.0,0.0
2024-05-06 17:59:14,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:15,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:16,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:17,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:18,59.98,-2.0,-2.1,99.0
2024-05-06 17:59:19,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:20,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:21,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:22,60.02,-2.0,-2.1,99.0
2024-05-06 17:59:23,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:24,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:25,60.0,-2.0,-2.2,98.0
2024-05-06 17:59:26,60.02,-2.0,-2.1,99.0
2024-05-06 17:59:27,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:28,60.01,-2.0,-2.2,98.0
2024-05-06 17:59:29,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:30,60.0,-2.0,-2.2,98.0
2024-05-06 17:59:31,60.01,-2.0,-2.2,98.0
2024-05-06 17:59:32,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:33,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:34,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:35,60.01,-2.0,-2.2,98.0
2024-05-06 17:59:36,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:37,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:38,60.0,-2.0,-2.2,98.0
2024-05-06 17:59:39,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:40,59.99,-2.0,-2.2,98.0
2024-05-06 17:59:41,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:42,60.01,-2.0,-2.1,99.0
2024-05-06 17:59:43,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:44,60.0,-2.0,-2.2,98.0
2024-05-06 17:59:45,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:46,59.98,-2.0,-2.2,98.0
2024-05-06 17:59:47,60.02,-2.0,-2.1,99.0
2024-05-06 17:59:48,60.0,-2.0,-2.2,98.0
2024-05-06 17:59:49,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:50,60.02,-2.0,-2.2,98.0
2024-05-06 17:59:51,60.01,-2.0,-2.2,98.0
2024-05-06 17:59:52,59.99,-2.0,-2.1,99.0
2024-05-06 17:59:53,60.01,-2.0,-2.1,99.0
2024-05-06 17:59:54,60.01,-2.0,-2.1,99.0
2024-05-06 17:59:55,60.02,-2.0,-2.2,98.0
2024-05-06 17:59:56,59.98,-2.0,-2.1,99.0
2024-05-06 17:59:57,60.0,-2.0,-2.1,99.0
2024-05-06 17:59:58,60.02,-2.0,-2.1,99.0
2024-05-06 17:59:59,60.01,-2.0,-2.1,99.0
2024-05-06 18:00:00,60.0,0.0,-0.2,98.0
2024-05-06 18:00:01,59.99,-2.0,-2.1,99.0
2024-05-06 18:00:02,60.02,-2.0,-2.2,98.0
2024-05-06 18:00:03,59.98,-2.0,-2.1,99.0
2024-05-06 18:00:04,60.0,-2.0,-2.1,99.0
2024-05-06 18:00:05,59.99,-2.0,-2.1,99.0
2024-05-06 18:00:06,60.01,-2.1,-2.3,98.0
2024-05-06 18:00:07,60.01,-2.1,-2.3,98.0
2024-05-06 18:00:08,60.0,-2.1,-2.3,98.0
2024-05-06 18:00:09,60.0,-2.1,-2.3,98.0
2024-05-06 18:00:10,60.0,-2.1,-2.3,98.0
